molregno,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,full_mwt,alogp,hba,hbd,rtb,psa,assay_type,assay_description
334336,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)CCc1ccccc1,Ki,500000.0,nM,,,664.85,1.44,7.0,7.0,23.0,223.89,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334335,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C=O)c1ccccc1,Ki,33000.0,nM,4.48,,636.8,1.39,7.0,8.0,21.0,221.39,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334316,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C=O)Cc1ccc(NC(=N)N)cc1,Ki,2800.0,nM,5.55,,707.88,0.57,8.0,11.0,23.0,283.29,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334450,N=C(N)NCCC[C@@H](C=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c1ccccc1,Ki,12000.0,nM,4.92,,418.5,-1.0,5.0,8.0,13.0,199.07,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334449,N=C(N)NCCC[C@@H](C=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)c1ccccc1,Ki,1500.0,nM,5.82,,546.68,-1.39,7.0,10.0,19.0,254.19,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334442,CCCC[C@@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)CCCN=C(N)N,Ki,9400.0,nM,5.03,,659.84,-1.14,8.0,9.0,24.0,288.29,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334420,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)CCCN=C(N)N,Ki,28600.0,nM,4.54,,659.84,-1.14,8.0,9.0,24.0,288.29,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334413,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](C=O)CCCN=C(N)N,Ki,115000.0,nM,,,659.84,-1.14,8.0,9.0,24.0,288.29,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334197,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C=O)CCCN=C(N)N,Ki,51000.0,nM,4.29,,659.84,-1.14,8.0,9.0,24.0,288.29,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334334,CCCC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)CCCN=C(N)N)N(C)C(=O)c1ccccc1,Ki,43700.0,nM,4.36,,673.86,-0.79,8.0,8.0,24.0,279.5,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334333,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N(C)[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)CCCN=C(N)N,Ki,113300.0,nM,,,673.86,-0.79,8.0,8.0,24.0,279.5,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
