bit_index,mean_abs_shap
1160,0.023616005278551032
926,0.021409039609314243
896,0.01372195999299883
736,0.011580292709222274
1480,0.009215438275091293
1104,0.00866813446644079
1019,0.007740185306938298
184,0.007235062972205353
935,0.007189973750082805
1853,0.00712893053078208
1602,0.0068013233294179805
1199,0.006738899554894193
310,0.0063951590984644875
1535,0.006343218074969937
623,0.005791324277368653
389,0.005614103793572817
885,0.005267841414078632
191,0.005188869197595426
1911,0.005096835082195807
140,0.004988280832453325
589,0.004936587236090169
378,0.0046116128678707685
1842,0.0045321018845058195
1385,0.004467236474363313
1665,0.004448452786938745
695,0.004414632703864612
1325,0.004207942035325139
857,0.0041491398978016234
1607,0.0040714543016831676
322,0.003959995791722951
80,0.003941944668244313
117,0.003922995389954521
1563,0.0038711874136235906
1145,0.003793396667484395
1964,0.0036335473386682896
1451,0.0034901745828808213
2000,0.0031767805794263235
1082,0.0031328076282868046
1812,0.003121797732663814
1171,0.0029876632109235423
486,0.0029812454098823928
1517,0.0029755972149434406
1609,0.0029267309202321043
1840,0.0029221847200840752
1236,0.002897763567459878
954,0.0028853181534699407
1283,0.0028563727564989367
408,0.002781459605328254
1110,0.002779441322960494
180,0.002628660333304284
1088,0.0025782216047482136
638,0.002500055101289178
284,0.0024225285424628626
1855,0.002408486340630162
1057,0.002375747234729772
1293,0.002367469728187239
1724,0.0023417961545774955
1077,0.00223180268023672
1618,0.002226824103702407
1393,0.002224028648728373
1977,0.002171894080384973
1612,0.0021632218055732564
1745,0.002159047734431995
1047,0.002127631695617318
317,0.0021205151267812044
1901,0.002100604883231403
1060,0.002049772105805807
1114,0.0020494740115316336
1866,0.0019924622841383318
2016,0.0019557327689087925
323,0.0019464309728464669
1066,0.0019463735714727469
573,0.0019223655626535942
718,0.0018745235269513531
114,0.0018725445693986772
847,0.0018716717021132838
1816,0.0018111836641248487
745,0.0018074628293326944
1978,0.001791504119616215
1946,0.001774249351383603
1656,0.0017694557739333602
1919,0.001768236526890997
202,0.001759554923068414
1980,0.0017497706700349517
1262,0.0017472494266031762
1748,0.001714305687178047
216,0.0017128929378722824
1516,0.0017000592860482138
1758,0.001696065234009909
1697,0.001693060288874869
1747,0.0016883103139179883
1365,0.0016846864475346516
609,0.0016380501843594674
1985,0.00163114425752962
82,0.0016257596121647558
1102,0.001624223404184605
1254,0.0016237011321095993
395,0.0016149902903468602
147,0.0016086023051834974
981,0.0016038368681319808
984,0.0015659126790484356
843,0.0015540316346093082
905,0.0015166917470125294
107,0.0015035455126253278
672,0.0014738808854531044
1897,0.0014723641251196396
86,0.001445457513467061
1164,0.0014454550328594406
1039,0.0014275202509407134
1452,0.0014240047948303246
2028,0.001410897976974677
1,0.0014046767693929616
1152,0.0013933845818961375
1623,0.0013902019898540435
624,0.001378947352849435
897,0.0013712022344007275
490,0.0013668516283352273
1603,0.0013397870026877323
1308,0.0013376039718340225
269,0.0013326988836564993
1326,0.001311841708969456
703,0.0012925705351264827
1683,0.0012919013740294194
352,0.001289474623732081
1128,0.0012689470891140522
102,0.0012669827592219972
1935,0.0012308752507465624
1120,0.0012202358690343563
